case_id,execution_mode,dtype,num_gpus,topology_hint,message_size_bytes,in_context,kernel_source,measured_us_p50,measured_us_p10,measured_us_p90,sim_us,gap_meas_over_sim,delta_us,source_profiles
collective__allreduce_n8_80K_concentrated_cudagraph__0fba944d96c9,cudagraph,bf16,8,concentrated,81920,False,vllm_tensor_model_parallel_all_reduce,68.1984007358551,67.17439889907837,68.81279945373535,90.368,0.7546742291060453,-22.169599264144892,qwen3_4b
collective__allreduce_n8_80K_concentrated_eager__8cc5590f2192,eager,bf16,8,concentrated,81920,False,vllm_tensor_model_parallel_all_reduce,81.9648027420044,79.6671986579895,94.61119771003723,159.36800000000002,0.5143115477511444,-77.40319725799563,qwen3_4b
collective__allreduce_n8_10M_balanced_cudagraph__12f4c3c6918c,cudagraph,bf16,8,balanced,10485760,False,vllm_tensor_model_parallel_all_reduce,3538.1248474121094,3501.670455932617,3566.7903900146484,3804.4159999999997,0.9300047227779795,-266.29115258789034,qwen3_4b
collective__allreduce_n8_10M_balanced_eager__58174037be81,eager,bf16,8,balanced,10485760,False,vllm_tensor_model_parallel_all_reduce,3543.2449340820312,3502.0801544189453,3592.396926879883,3873.4159999999997,0.9147597196071973,-330.17106591796846,qwen3_4b
collective__allreduce_n8_160K_balanced_cudagraph__a3d9c4f99817,cudagraph,bf16,8,balanced,163840,False,vllm_tensor_model_parallel_all_reduce,118.16960573196411,117.76000261306763,118.98880004882812,123.13600000000001,0.959667406217224,-4.966394268035899,qwen3_4b
collective__allreduce_n8_160K_balanced_eager__cc9aa3d33122,eager,bf16,8,balanced,163840,False,vllm_tensor_model_parallel_all_reduce,123.49439859390259,121.63200378417969,124.70400333404541,192.136,0.6427447151699972,-68.64160140609741,qwen3_4b
collective__allreduce_n8_20K_balanced_cudagraph__76635cf2c6cf,cudagraph,bf16,8,balanced,20480,False,vllm_tensor_model_parallel_all_reduce,49.15199875831604,48.53760004043579,55.09120225906372,65.792,0.7470816931893853,-16.64000124168396,qwen3_4b
collective__allreduce_n8_20K_balanced_eager__69d85527036f,eager,bf16,8,balanced,20480,False,vllm_tensor_model_parallel_all_reduce,51.40479803085327,50.17600059509277,56.52480125427246,134.792,0.38136386455318766,-83.38720196914673,qwen3_4b
collective__allreduce_n8_20M_balanced_cudagraph__748f31a16838,cudagraph,bf16,8,balanced,20971520,False,vllm_tensor_model_parallel_all_reduce,7026.483154296875,6977.126312255859,7090.5853271484375,7474.432,0.9400691790756642,-447.9488457031248,qwen3_4b
collective__allreduce_n8_20M_balanced_eager__de8935825977,eager,bf16,8,balanced,20971520,False,vllm_tensor_model_parallel_all_reduce,6983.0657958984375,6954.803466796875,7088.53759765625,7543.431999999999,0.9257146874126311,-560.3662041015614,qwen3_4b
collective__allreduce_n8_2M_balanced_cudagraph__d58b2cbe40e0,cudagraph,bf16,8,balanced,2621440,False,vllm_tensor_model_parallel_all_reduce,932.044792175293,924.2624282836914,951.910400390625,1051.904,0.8860549937782278,-119.85920782470703,qwen3_4b
collective__allreduce_n8_2M_balanced_eager__e80520b9f258,eager,bf16,8,balanced,2621440,False,vllm_tensor_model_parallel_all_reduce,937.1647834777832,926.5151977539062,947.2000122070312,1120.904,0.8360794354180048,-183.7392165222168,qwen3_4b
collective__allreduce_n8_40M_balanced_cudagraph__b9232f4e8a06,cudagraph,bf16,8,balanced,41943040,False,vllm_tensor_model_parallel_all_reduce,14180.76171875,14135.70556640625,14236.87744140625,14814.464,0.9572240830819124,-633.7022812499999,qwen3_4b
collective__allreduce_n8_40M_balanced_eager__7884e8d8acb7,eager,bf16,8,balanced,41943040,False,vllm_tensor_model_parallel_all_reduce,14135.910034179688,14102.323913574219,14205.337524414062,14883.463999999998,0.9497728508752861,-747.5539658203106,qwen3_4b
