prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,4096,31.744000000000003
0,0,1,4096,31.744000000000003
0,0,1,4096,31.967000000000002
0,0,1,4096,32.096000000000004
0,0,1,4096,31.808000000000003
0,0,1,4096,31.872000000000003
0,0,1,4096,31.903000000000002
0,0,1,4096,32.352000000000004
0,0,1,4096,31.520000000000003
0,0,1,4096,32.192
0,0,1,4096,32.160000000000004
0,0,1,4096,32.545
0,0,1,4096,32.321000000000005
0,0,1,4096,31.682000000000002
0,0,1,4096,31.874000000000002
0,0,1,4096,32.355
0,0,1,4096,32.160000000000004
0,0,1,4096,31.872000000000003
0,0,1,4096,31.778000000000002
0,0,1,4096,31.776000000000003
0,0,1,4096,31.840000000000003
0,0,1,4096,32.129000000000005
0,0,1,4096,32.095
0,0,1,4096,31.682000000000002
0,0,1,4096,32.419000000000004
0,0,1,4096,32.353
0,0,1,4096,31.680000000000003
0,0,1,4096,32.192
0,0,1,4096,32.352000000000004
0,0,1,4096,32.803
0,0,1,4096,32.160000000000004
0,0,1,4096,32.545
0,0,1,4096,32.480000000000004
0,0,1,4096,31.808999999999997
0,0,1,4096,31.680000000000003
0,0,1,4096,32.383
0,0,1,4096,31.968000000000004
0,0,1,4096,32.32
0,0,1,4096,32.607000000000006
0,0,1,4096,32.513000000000005
0,0,1,4096,32.481
0,0,1,4096,32.705
0,0,1,4096,32.288000000000004
0,0,1,4096,32.096000000000004
0,0,1,4096,32.064
0,0,1,4096,32.544000000000004
0,0,1,4096,32.704
0,0,1,4096,32.642
0,0,1,4096,32.065
0,0,1,4096,31.808000000000003
0,0,1,4096,32.480000000000004
0,0,1,4096,31.874
0,0,1,4096,31.936000000000003
0,0,1,4096,31.776000000000003
0,0,1,4096,32.192
0,0,1,4096,31.869
0,0,1,4096,31.904000000000003
0,0,1,4096,32.608000000000004
0,0,1,4096,32.321000000000005
0,0,1,4096,32.385000000000005
0,0,1,4096,31.776000000000003
0,0,1,4096,32.287
0,0,1,4096,32.32
0,0,1,4096,32.225
0,0,1,4096,32.192
0,0,1,4096,31.936000000000003
0,0,1,4096,31.49
0,0,1,4096,32.0
0,0,1,4096,32.544000000000004
0,0,1,4096,32.064
0,0,1,4096,32.033
